,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
60,14.2908784076,4.7763003029,12.7044965302,0.77628187542,13423,167786.38,50208
61,12.2088571429,4.07828571429,13.7834018399,0.873666666625,292,3520.97,50210
62,13.2597587719,4.43495614035,12.4622555896,0.914489993901,5855,79511.06,50211
63,13.4484552846,4.49520325203,12.8866671299,0.722120919625,784,9273.89,50212
64,14.5151440922,4.85015850144,13.755696414,0.93384762806,5429,78233.46,50213
65,13.7435114504,4.59541984733,12.4038645525,0.550732025312,1946,23077.39,50216
66,15.457532014,5.16643771828,14.1830097584,0.905486399834,7998,120531.33,50219
67,13.3335670357,4.45367773678,12.7048858932,0.849351723785,5335,64350.12,50220
68,14.536809816,4.85472392638,11.7791645192,0.489644744016,915,8456.38,50225
69,13.9508791209,4.67600732601,12.7091403384,0.96921536596,2394,31976.07,50226
70,9.70727272727,3.25181818182,14.7237700925,0.757219567609,377,3022.79,50228
71,11.0514285714,3.7125,12.6121082621,0.866617360314,339,3541.48,50240
72,12.6143076923,4.218,12.7719418185,0.789645283102,490,5417.73,50244
73,11.6921764706,3.90911764706,11.4882002384,0.755972015504,506,5783.16,50247
74,11.2455255255,3.76072072072,12.1343538406,0.831998262785,2514,27078.66,50248
75,17.2072151899,5.75075949367,12.5391014593,0.849809834547,367,5456.39,50249
76,12.9558947368,4.33049122807,11.750945512,0.830626017222,2109,23893.08,50250
77,11.74,3.915,15.701754386,0.930008171675,228,2685.0,50251
78,10.45,3.48533333333,9.82889842632,0.260128529382,294,2061.12,50261
79,15.1097419355,5.05262365591,16.2187955783,0.703048672193,13677,196604.24,50263
80,15.3412396694,5.12404040404,15.5320430441,0.821650796634,36375,507370.65,50265
81,16.6158353852,5.55130495955,17.3184388811,0.906443351412,37903,677930.29,50266
82,14.5621611253,4.86680306905,11.7308848711,0.911448558984,6990,88099.18,50273
83,11.1705714286,3.75314285714,12.262084507,0.910451854617,306,3264.78,50276
84,14.7627631579,4.93585526316,13.2403231381,0.521907079045,1254,15324.35,50300
85,12.2520403023,4.08982367758,12.8893164184,0.475828395443,6509,40599.8,50309
86,13.0824611973,4.37146341463,13.9202724456,0.605983913229,24399,235297.01,50310
87,15.5214834515,5.184143026,14.2254220516,0.729094462355,47521,686739.22,50311
88,19.5260486577,6.51766778523,17.8646509259,0.858874506341,10908,169399.23,50312
89,12.0543467933,4.02609263658,13.2368183887,0.757752374814,8077,72996.95,50313
90,17.6503584864,5.89121487055,17.6218857164,0.686393941112,89891,1325170.74,50314
91,12.851284374,4.29207052734,14.7364294556,0.75895520333,32939,335370.63,50315
92,13.8988697017,4.63923861852,15.2125314379,0.628486349339,18099,160773.03,50316
93,13.434759322,4.48743728814,14.2916045796,0.633980714123,42799,432750.93,50317
94,17.2267500772,5.749437751,15.9977747008,0.77075852734,84708,1300498.14,50320
95,14.7242271663,4.92089578454,14.2561274786,0.880869627564,16876,227912.71,50321
96,15.4045555556,5.14370833333,16.3164877224,0.897497589046,28060,384362.28,50322
97,13.0550276243,4.36215469613,14.7101828477,0.684222833968,1231,14392.59,50323
98,8.45774725275,2.82071428571,15.7158442727,0.52654792582,1613,9781.07,50324
