,AvgPriceperBottle,City,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales
37,13.466433121,BRITT,4.51171974522,9.92841121495,0.71717634913,1227,14341.59
38,15.3254123711,BROOKLYN,5.11886597938,12.8749120131,0.679573414665,967,13169.49
39,10.4819444444,BUFFALO,3.51666666667,12.5823006695,0.867310613843,540,5168.18
40,13.9160264901,BUFFALO CENTER,4.65986754967,11.8438541382,0.775748766601,719,8672.07
41,14.2893210073,BURLINGTON,4.77008606949,15.3673631117,0.654754558017,30885,366889.34
42,6.50875,BUSSEY,2.171875,8.71724137931,0.64851342076,390,1896.0
43,13.5555395683,CAMANCHE,4.52424460432,13.2558668716,0.474381747145,1453,15437.65
44,11.6156862745,CAMBRIDGE,3.88843137255,11.8879964051,0.843367459789,199,2116.42
45,12.9381767956,CARLISLE,4.33552486188,11.2820249827,0.946037078851,2373,28929.03
46,14.7160433604,CARROLL,4.91785907859,13.3652939864,0.909176397768,18656,278581.51
47,11.2185454545,CARTER LAKE,3.74145454545,13.9217376255,0.520741336489,1890,12065.97
48,13.4096,CASCADE,4.48853333333,11.6659645064,0.840647369282,1491,19161.93
49,11.0037837838,CASEY,3.66945945946,14.9872377622,0.891993950913,535,5143.62
50,15.0126245847,CEDAR FALLS,5.01644168561,14.1938684292,0.778378721473,48744,647023.66
51,14.2024215414,CEDAR RAPIDS,4.74356266012,14.531323268,0.694649657054,194525,2486949.08
52,12.4560571429,CENTER POINT,4.16537142857,10.8559396817,0.835051652493,827,9718.78
53,13.9831654676,CENTERVILLE,4.67232271326,11.9810202238,0.905568724706,7751,91108.59
54,11.4211363636,CENTRAL CITY,3.82242424242,11.0186308142,0.471256756944,1116,9539.6
55,14.2108631579,CHARITON,4.74896842105,14.1523399077,0.834667243731,3629,47911.19
56,14.536711165,CHARLES CITY,4.85359223301,13.0415323676,0.853592896517,9605,123367.81
57,14.4433079848,CHEROKEE,4.8319391635,12.6026957799,0.544439551326,7144,80297.32
58,14.6945686275,CLARINDA,4.912,13.9708157546,0.663623521866,3451,45367.43
59,13.4470481928,CLARION,4.49722891566,12.3334695321,0.616984310612,1317,15696.19
60,11.4584848485,CLARKSVILLE,3.83045454545,12.3649729842,0.888053385503,652,7140.03
61,15.9010865385,CLEAR LAKE,5.31296634615,13.6965274484,0.845607575425,14753,208523.33
62,13.594881378,CLINTON,4.53981475463,13.7877237022,0.694379055658,29144,352625.17
63,14.0357341908,CLIVE,4.69077170418,15.41135897,0.490248433622,8216,94199.62
64,11.6438020833,COLFAX,3.88796875,11.9398135639,0.750628780449,1464,15908.13
65,12.8303703704,COLO,4.28407407407,11.2513777778,0.72634804626,348,3797.34
66,12.3371034483,COLUMBUS JUNCTION,4.11837931034,14.8229281747,0.843250974425,3255,19186.65
67,14.4922222222,CONRAD,4.86373737374,11.1430637667,0.790387026845,473,6163.34
68,15.2027966102,COON RAPIDS,5.08610169492,13.1263713592,0.598956602416,854,10816.13
69,16.4300870575,CORALVILLE,5.48651189785,17.2222820578,0.762701397361,37787,616268.88
70,15.4067342342,CORNING,5.14605855856,13.6939403625,0.712567640224,1894,26562.41
71,14.7676666667,CORWITH,4.95933333333,11.3131107206,0.948692072237,211,3218.58
72,15.8719230769,CORYDON,5.306,12.6380553846,0.824469570292,782,10268.42
73,14.1990879681,COUNCIL BLUFFS,4.74185890258,14.9468283861,0.732084635978,87512,1191881.32
74,12.7403846154,CRESCENT,4.26692307692,16.6474165894,0.798205583413,246,2874.01
75,15.0010035842,CRESCO,5.01657706093,11.5196584036,0.941510071784,5782,83228.38
76,15.1447125353,CRESTON,5.06044297832,14.0290684589,0.893165015011,8006,112822.47
77,26.39,Carroll,8.8,35.1866666667,1.0,24,633.36
78,11.8833333333,Cumming,3.96333333333,12.8310447761,0.864803138938,264,2579.04
79,7.8592,DAKOTA CITY,2.622,10.3959047221,0.754853177128,462,2487.74
80,9.20533333333,DANVILLE,3.07,13.1569082126,0.81542103223,174,1361.74
81,13.7062690732,DAVENPORT,4.57824744965,14.6424368107,0.685821610646,153200,1697702.84
82,14.8401075269,DAYTON,4.96247311828,13.9363334912,0.874549792642,491,7354.9
83,12.8521969697,DE SOTO,4.30272727273,12.3332740575,0.549981218775,891,9709.74
84,15.1508995633,DECORAH,5.06092576419,13.2690688486,0.699355078427,10385,135214.2
85,14.1915789474,DELAWARE,4.76210526316,12.5981560284,0.758011401211,286,3552.68
86,9.68545454545,DELHI,3.24454545455,15.2558139535,0.920275618618,59,524.8
87,12.1386206897,DELMAR,4.05551724138,13.1243028876,0.45588594681,234,2118.0
88,14.239032967,DENISON,4.75879120879,11.5080790867,0.977511615342,10788,143568.12
89,12.9066129032,DENVER,4.32919354839,11.3169511969,0.898345156103,1002,12197.41
90,14.9816373105,DES MOINES,5.0023706495,15.8656132099,0.736643053002,344151,4380886.26
91,14.3268656716,DEWITT,4.79900497512,12.0869100067,0.948027009403,2867,40220.16
92,14.0370588235,DONNELLSON,4.68117647059,15.8667768595,0.942176059784,222,2879.82
93,10.5046153846,DOWS,3.52,12.9949612403,0.910081237621,198,2011.62
94,15.2611788737,DUBUQUE,5.09863437409,13.7657835699,0.753514426972,70910,965011.3
95,12.590483871,DUMONT,4.22016129032,9.03091667955,0.862966769315,371,4089.47
